state,best_model,MAE
Alabama,XGB,824213.5937500075
Arizona,SARIMA,3824413.7753718235
Arkansas,SARIMA,2145108.273684364
California,LSTM,11531321.762500003
Colorado,LSTM,1917408.5249999948
Connecticut,XGB,944667.1812500004
Florida,ARIMA,9557366.924935922
Georgia,LSTM,3514886.474999994
Illinois,XGB,181384.71249999106
Indiana,XGB,3128228.1375000067
Iowa,LSTM,2120265.2624999993
Kansas,SARIMA,2038381.2487651221
Kentucky,LSTM,1835022.3249999993
Louisiana,LSTM,2875983.268749997
Maine,ARIMA,589909.4584014136
Maryland,XGB,1151615.0812499896
Massachusetts,ARIMA,1881860.9145284258
Michigan,XGB,2713085.599999979
Minnesota,XGB,1537898.637500003
Mississippi,ARIMA,60017.40615109168
Missouri,XGB,2456674.612499997
Nebraska,ARIMA,1182278.3524998464
Nevada,LSTM,1352457.6624999829
New Hampshire,LSTM,547574.8687500004
New Mexico,LSTM,1028330.3750000075
New York,ARIMA,4926934.76175949
North Carolina,XGB,3951464.7062499896
Ohio,XGB,5113956.700000003
Oklahoma,ARIMA,2127615.1197152957
Oregon,LSTM,2200919.350000007
Pennsylvania,LSTM,4500181.375000007
Rhode Island,ARIMA,369174.41494413046
South Carolina,XGB,1371096.8687499836
South Dakota,LSTM,355481.19999999786
Tennessee,ARIMA,3401945.8526813537
Texas,LSTM,10742191.424999982
Utah,LSTM,1000773.2124999985
Vermont,ARIMA,63788.86789358687
Virginia,SARIMA,4021756.031465329
Washington,ARIMA,1796626.9911650717
West Virginia,ARIMA,1615039.3718972579
Wisconsin,XGB,1216196.2187500112
Wyoming,ARIMA,138275.5804533828
