state,best_model,MAE,RMSE,MAPE
Alabama,XGB,720978.618750006,996740.669590133,0.3541013113210783
Arizona,SARIMA,3824413.7753718235,5834560.267404237,1.6686100923703242
Arkansas,XGB,1484832.943750009,2079985.9478642067,1.317864780795663
California,XGB,10262103.562499955,12208420.743452402,1.182650059153085
Colorado,LSTM,1452518.0500000007,1831115.5169753446,0.8248452546673908
Connecticut,XGB,910014.4812500048,1053379.8972233692,0.9993015190638644
Florida,ARIMA,9557366.924935922,14070576.123620875,1.266450581325574
Georgia,XGB,3021194.474999994,5906423.692338362,0.8015477926489215
Illinois,XGB,923115.3374999911,1118439.4614781113,0.28423568177282105
Indiana,XGB,1133561.9375000037,1221356.8709684936,0.5082206353578095
Iowa,XGB,913566.5625000112,1127425.6694761491,0.7771850359746987
Kansas,XGB,1299834.2125000153,1598879.7717455027,1.4028553805806316
Kentucky,XGB,2836864.9999999963,2987604.2771715,1.6337586071386676
Louisiana,LSTM,2292513.231250003,3237716.9157867753,1.2575620269281025
Maine,XGB,475466.6437500026,618443.1808509075,1.021448816538472
Maryland,XGB,752254.3687499985,945323.7519247093,0.46515947149267023
Massachusetts,XGB,1053880.7125000022,1194802.0255780772,0.5664423655960081
Michigan,XGB,920468.8999999613,1001532.0872184248,0.317853043145493
Minnesota,XGB,892722.987499997,1628589.0356790244,0.5723101046452893
Mississippi,ARIMA,60017.40615109168,77878.07229082595,0.0487778152765786
Missouri,XGB,2720004.262499988,3226209.6036119354,1.3757397810377574
Nebraska,XGB,727191.6687500002,1291080.957949237,1.1593778102067802
Nevada,LSTM,1692197.0625000037,1927921.706349279,1.649652345801567
New Hampshire,XGB,742857.4437500015,844991.1368569263,1.322906009104996
New Mexico,XGB,1112474.1999999993,1233927.9799263668,1.5138832850610142
New York,LSTM,3538122.5937500075,5227263.959337598,0.8081448201884204
North Carolina,LSTM,4447554.4437500015,5790266.922049803,1.237088336722595
Ohio,XGB,2128454.399999991,2221134.3093203073,0.5691807641463194
Oklahoma,XGB,926564.0687499754,1033815.185699511,0.6168036507731763
Oregon,LSTM,2380336.249999998,3038056.9125952455,2.042149037196049
Pennsylvania,XGB,1055030.6749999747,1243479.4183524428,0.28977321975577797
Rhode Island,XGB,236844.75624999637,385221.2645688335,0.8960430606215292
South Carolina,XGB,2295374.7312499806,2725553.406498407,1.1621693038253635
South Dakota,XGB,208896.8999999999,240855.35048231814,0.7251455786242058
Tennessee,XGB,2982159.1562500224,3197333.3422337407,1.136059313682347
Texas,LSTM,12182150.62499997,13142381.244790452,1.3561783829914895
Utah,XGB,439948.3125,515989.6090540869,0.5254033196150261
Vermont,ARIMA,63788.86789358687,66453.48471015388,0.35103487643736336
Virginia,LSTM,3969852.3625000045,4703701.416158913,1.3561682505387258
Washington,ARIMA,1796626.9911650717,1800125.4031503235,0.9507855171147668
West Virginia,ARIMA,1615039.3718972579,1666051.789544126,2.077901495534807
Wisconsin,XGB,681678.3187499978,940262.6574952108,0.4321028428375711
Wyoming,ARIMA,138275.5804533828,139041.5273069241,0.6523782895300899
